id,content,type
1,"Dil Se Jo Baat Nikalti Hai, Asar Rakhti Hai / Par Nahin, Taaqat-e-Parwaaz Magar Rakhti Hai",allama
2,"Qudsi-Ul-Asal Hai, Riffat Pe Nazar Rakhti Hai / Khaak Se Uthti Hai, Gardoon Pe Guzar Rakhti Hai",allama
3,Ishq Tha Fitna Gar-o-Sarkash-o-Chalaak Mera / Aasman Cheer Gaya Nala-e-Bebaak Mera,allama
4,"Peer-e-Gardoon Ne Kaha Sun Ke, Kahin Hai Koi! / Bole Sayyaare, Sar-e-Arsh-e-Bareen Hai Koi!",allama
5,"Chaand Kahta Tha, Nahin, Ahl-e-Zameen Hai Koi! / Kehkashaan Kehti Thi, Poshida Yahin Hai Koi!",allama
6,Kuch Jo Samjha Tau Mere Shikwe Ko Rizwan Samjha / Mujhe Jannat Se Nikala Huwa Insan Samjha,allama
7,"Thi Farishton Ko Bhi Hairat, Ke Yeh Awaz Hai Kya! / Arsh Walon Pe Bhi Khulta Nahin Yeh Raaz Hai Kya!",allama
8,Taa Sar-e-Arsh Bhi Insan Ki Tag-o-Taaz Hai Kya? / Aa Gyi Khak Ki Chutki Ko Bhi Parwaaz Hai Kya?,allama
9,Ghafil Aadaab Se Yeh Sukkaan-e-Zameen Kaise Hain / Shokh-o-Gustakh Yeh Pasti Ke Makeen Kaise Hain!,allama
10,Iss Qadar Shokh Ke Allah Se Bhi Barham Hai / Tha Jo Masjood-e-Malaeek Yeh Wohi Aadam Hai?,allama
11,"Alam-e-Kaif Hai, Dana-e-Ramooz-e-Kam Hai / Haan, Magar Ijz Ke Asrar Se Namehram Hai",allama
12,Naaz Hai Taaqat-e-Guftaar Pe Insanon Ko / Baat Karne Ka Saliqa Nahin Nadanon Ko!,allama
13,Ayi Aawaz Ghum-Angaiz Hai Afsana Tera / Ashk-e-Betaab Se Labraiz Hai Paimana Tera,allama
14,Asmangeer Huwa Naara-e-Mastana Tera / Kis Qadar Shokh Zuban Hai Dil-e-Diwana Tera,allama
15,Shukr Shikwe Ko Kiya Husn-e-Ada Se Tu Ne / Hum Sukhan Kar Diya Bandon Ko Khuda Se Tu Ne,allama
16,"Hum Tau Mayal Ba-Karam Hain, Koi Sayal Hi Nahin / Rah Dikhlaen Kise Rahraw-e-Manzil Hi Nahin",allama
17,"Tarbiat Aam Tau Hai, Jauhar-e-Qabil Hi Nahin / Jis Se Taamir Ho Aadam Ki Yeh Woh Gil Hi Nahin",allama
18,Koi Qabil Ho Tau Hum Shan-e-Kai Dete Hain / Dhoondne Walon Ko Dunya Bhi Nai Dete Hain!,allama
19,"Hath Be-Zor Hain, Ilhaad Se Dil Khoo-Gar Hain / Ummati Baais-e-Ruswai-e-Paighamber (S.A.W) Hain",allama
20,"But-Shikan Uth Gaye, Baqi Jo Rahe But-Gar Hain / Tha Braheem Pidar, Aur Pisar Aazar Hain",allama
21,"Badah Aasham Naye, Bada Naya, Khum Bhi Naye / Harm-e-Kaaba Naya, But Bhi Naye, Tum Bhi Naye",allama
22,Woh Bhi Din The Ke Yehi Maya-e-Raanai Tha / Nazish-e-Mousam-e-Gul Lala-e-Sahrai Tha!,allama
23,Jo Musalmaan Tha Allah Ka Saudai Tha / Kabhi Mehboob Tumhara Yehi Harjai Tha,allama
24,Kisi Yakjai Se Ab Ehd-e-Ghulami Kar Lo / Millat-e-Ahmad (S.A.W.) Ko Maqami Kar Lo!,allama
25,Kis Qadar Tum Pe Garan Subah Ki Baidari Hai / Hum Se Kab Pyar Hai! Haan Neend Tumhain Pyari Hai,allama
26,"Tabaa-e-Azad Pe Qaid-e-Ramazan Bhari Hai / Tumhi Keh Do, Yehi Aaeen-e-Wafadari Hai?",allama
27,"Qoum Mazhab Se Hai, Mazhab Jo Nahin, Tum Bhi Nahin / Jazb-e-Baham Jo Nahin, Mehfil-e-Anjum Bhi Nahin",allama
28,"Jin Ko Ata Nahin Dunya Mein Koi Fann, Tum Ho / Nahin Jis Qoum Ko Parwaye Nasheman, Tum Ho",allama
29,"Bijliyan Jis Mein Hon Aasudah, Woh Khirman Tum Ho / Baich Khate Hain Jo Aslaaf Ke Madfan, Tum Ho",allama
30,Ho Niko Naam Jo Qabaron Ki Tajarat Kar Ke / Kya Na Baicho Ge Jo Mil Jaen Sanam Pathar Ke,allama
31,"Kyun Ziyaan Kaar Banun, Sood Framosh Rahun / Fikr-e-Farda Na Karum, Mahw-e-Ghum-e-Dosh Rahun",allama
32,"Naale Bulbul Ke Sunoon, Aur Hama Tan Gosh Rahun / Humnawa Main Bhi Koi Gul Hun Ke Khamosh Rahun",allama
33,Jurrat Aamoz Miri Taab-e-Sakhun Hai Mujh Ko / Shikwa Allah Se Khakam Badahan Hai Mujh Ko,allama
34,Hai Baja Shewa-e-Tasleem Mein Mashoor Hain Hum / Qissa-e-Dard Sunate Hain Ke Majboor Hain Hum,allama
35,"Saaz-e-Khamosh Hain, Faryad Se Maamoor Hain Hum / Nala Ata Hai Agar Lab Pe To Maazoor Hain Hum",allama
36,Ae Khuda Shikwa-e-Arbab-e-Wafa Bhi Sun Le / Khugar-e-Hamd Se Thora Sa Gila Bhi Sun Le,allama
37,"Thi To Maujood Azal Se Hi Teri Zaat-e-Qadim / Phool Tha Zaib-e-Chaman, Par Na Preshan Thi Shamim",allama
38,"Shart Insaaf Hai, Ae Sahib-e-Altaf-e-Amim / Boo-e-Gul Phailti Kis Tarah Jo Hoti Na Nasim",allama
39,Hum Ko Jamiat-e-Khatir Ye Preshani Thi / Warna Ummat Tere Mehboob (S.A.W.) Ki Diwani Thi,allama
40,"Hum Se Pehle Tha Ajab Tere Jahan Ka Manzar / Kahin Masjood The Pathar, Kahin Maabood Shajar",allama
41,Khugar-e-Paikar-e-Mahsoos Thi Insaan Ki Nazar / Manta Phir Koi Un-Dekhe Khuda Ko Kyunkar,allama
